City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
333,Ixtapa,MX,20.7,-105.2,87.22,62,1,3.44,clear sky
334,Los Corrales De Buelna,ES,43.2636,-4.0726,64.35,68,77,1.99,broken clouds
335,Marzuq,YE,14.4,46.4667,85.03,27,33,3.8,scattered clouds
336,Bud,US,39.447,-86.1758,74.12,91,100,4.56,overcast clouds
337,Acapulco,MX,16.8634,-99.8901,87.62,62,40,3.44,scattered clouds
338,Wanning,CN,18.8003,110.3967,80.26,90,100,15.75,light rain
339,Port Macquarie,AU,-31.4333,152.9167,49.37,78,33,7.0,scattered clouds
340,Sola,VU,-13.8833,167.55,80.01,78,75,12.77,broken clouds
341,Tahta,EG,26.7693,31.5021,81.36,27,0,11.54,clear sky
342,Fayaoue,NC,-20.65,166.5333,73.98,75,0,15.88,clear sky
343,Naze,JP,28.3667,129.4833,76.44,74,99,12.28,overcast clouds
